label,Pleiades place,Name,Transliteration,Language,source citation,source link,source citation 2,source link 2,source citation 3,source link 3,date attested,creators,details
Takrit,894099,تكريت,Tikrit,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), تكريت",https://ar.wikipedia.org/wiki/%D8%AA%D9%83%D8%B1%D9%8A%D8%AA,,,"Mediaeval/Byzantine, Modern",,
Baghdad,893952,بغداد,Baghdad,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), بغداد",https://ar.wikipedia.org/wiki/%D8%A8%D8%BA%D8%AF%D8%A7%D8%AF,,,"Mediaeval/Byzantine, Modern",,
Samarra,894082, القادسية,Al-Qadisiya,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), محافظة_القادسية",https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9_%D8%A7%D9%84%D9%82%D8%A7%D8%AF%D8%B3%D9%8A%D8%A9,,,"Mediaeval/Byzantine, Modern",,
"Diyala, fl.",583407059,جلولاء,Galula,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,Mediaeval/Byzantine,,
"Diyala, fl.",583407059,نهر ديالى,Nahr Dyala,ar,"Wikipedia (Arabic), نهر_ديالى",https://ar.wikipedia.org/wiki/%D9%86%D9%87%D8%B1_%D8%AF%D9%8A%D8%A7%D9%84%D9%89,,,,,Modern,,
Tabriz,430344981,تبريز,Tabriz,ar,"Wikipedia (Arabic), تبريز",https://ar.wikipedia.org/wiki/%D8%AA%D8%A8%D8%B1%D9%8A%D8%B2,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,"Mediaeval/Byzantine, Modern",,
Pontus Exinus,1224, بحر نيطش,Bachr Nitsh,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,Mediaeval/Byzantine,,
Caspium Mare,884130,بحر الخزر,Bachr al-Khazar,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,Mediaeval/Byzantine,,
Caspium Mare,884130,بحر قزوين,Bachr Qazuin,ar,"Wikipedia (Arabic), بحر_قزوين",https://ar.wikipedia.org/wiki/%D8%A8%D8%AD%D8%B1_%D9%82%D8%B2%D9%88%D9%8A%D9%86,,,,,Modern,,
Qumm,903036,قم,Qum,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), قم",https://ar.wikipedia.org/wiki/%D9%82%D9%85,,,"Mediaeval/Byzantine, Modern",,
Kashan,890432541,قاشان,Qashan,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,Mediaeval/Byzantine,,
Kashan,890432541,كاشان,Kashan,ar,"Wikipedia (Arabic), كاشان",https://ar.wikipedia.org/wiki/%D9%83%D8%A7%D8%B4%D8%A7%D9%86,,,,,Modern,,
Adriaticum Mare,1004,خليج البنادقة,Khalig al-bunadiqa,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,Mediaeval/Byzantine,,Literal translation: Venetian Gulf
Adriaticum Mare,1004,البحر الأدرياتيكي,Al-bachr al-Adryatiki,ar,"Wikipedia (Arabic), البحر_الأدرياتيكي",https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%AD%D8%B1_%D8%A7%D9%84%D8%A3%D8%AF%D8%B1%D9%8A%D8%A7%D8%AA%D9%8A%D9%83%D9%8A,,,,,Modern,,
Bursa,511384,بورصة,Bursa,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), بورصة",https://ar.wikipedia.org/wiki/%D8%A8%D9%88%D8%B1%D8%B5%D8%A9_(%D9%85%D8%AF%D9%8A%D9%86%D8%A9),,,"Mediaeval/Byzantine, Modern",,
Armenia,874350, بلاد الأرمن,Bilad al-Armin,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,Mediaeval/Byzantine,,
Amorion,609302,عمورية,amuriya,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), عمورية",https://ar.wikipedia.org/wiki/%D8%B9%D9%85%D9%88%D8%B1%D9%8A%D8%A9,,,"Mediaeval/Byzantine, Modern",,
Armenia,874350,أرمينيا,Arminia,ar,"Wikipedia (Arabic), أرمينيا",https://ar.wikipedia.org/wiki/%D8%A3%D8%B1%D9%85%D9%8A%D9%86%D9%8A%D8%A7,,,,,Modern,,
Salamanca,236642,سلمنكة,Salamanka,ar,"The Muqaddimah, Second Prefactory Discussion",https://ar.wikipedia.org/wiki/%D8%A3%D8%B1%D9%85%D9%8A%D9%86%D9%8A%D8%A7,,,,,Mediaeval/Byzantine,,
Salamanca,236642,سالامانكا,Salamanka,ar,"Wikipedia (Arabic), سالامانكا",https://ar.wikipedia.org/wiki/%D8%B3%D8%A7%D9%84%D8%A7%D9%85%D8%A7%D9%86%D9%83%D8%A7_(%D8%A5%D8%B3%D8%A8%D8%A7%D9%86%D9%8A%D8%A7),,,,,Modern,,
Zamora,236577,سمورة,Samura,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), سمورة",https://ar.wikipedia.org/wiki/%D8%B3%D9%85%D9%88%D8%B1%D8%A9,,,"
Mediaeval/Byzantine, Modern
",,
Avila,236361,أيلة,Aila,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,Mediaeval/Byzantine,,
