label,Pleiades place,Name,Transliteration,Language,source citation,source link,source citation 2,source link 2,source citation 3,source link 3,date attested,creators,details
Red Sea,39290,بحر السويس,Bachr as-Suis,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,Mediaeval/Byzantine,vvitale,"Literal translation: Sea of Suis. It may seem more appropriate to link this name to the Gulf of Suez, but it is translated as ""Red Sea"" in the English version of the original Arabic text."
Red Sea,39290,البحر الأحمر,al-bachr al-Achmar,ar,"Wikipedia (Arabic), البحر_الأحمر",https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%AD%D8%B1_%D8%A7%D9%84%D8%A3%D8%AD%D9%85%D8%B1,,,,,modern,vvitale,Literal translation: Red Sea
Indicum Mare,39352,البحر الصيني,Al-bachr as-sini,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,Mediaeval/Byzantine,vvitale,Literal translation: Chinese Sea
Indicum Mare,39352, البحرالهندي,Al-bachr al-hindi,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,Mediaeval/Byzantine,vvitale,Literal translation: Indian Sea
Indicum Mare,39352,البحر الحبشي,Al-bachr al-chabishi,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,Mediaeval/Byzantine,vvitale,Literal translation: Abyssinian Sea
Aquileia,118569,إنكلاية,Inkilaiya,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,Mediaeval/Byzantine,vvitale,
Avila,236361,أيلة,Aila,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,Mediaeval/Byzantine,vvitale,
Avila,236361,آبلة,Abila,ar,"Wikipedia (Arabic), آبلة",https://ar.wikipedia.org/wiki/%D8%A2%D8%A8%D9%84%D8%A9,,,,,Modern,vvitale,
Zamora,236577,سمورة,Samura,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), سمورة",https://ar.wikipedia.org/wiki/%D8%B3%D9%85%D9%88%D8%B1%D8%A9,,,"
Mediaeval/Byzantine, Modern
",vvitale,
Salamanca,236642,سلمنكة,Salamanka,ar,"The Muqaddimah, Second Prefactory Discussion",https://ar.wikipedia.org/wiki/%D8%A3%D8%B1%D9%85%D9%8A%D9%86%D9%8A%D8%A7,,,,,Mediaeval/Byzantine,vvitale,
Salamanca,236642,سالامانكا,Salamanka,ar,"Wikipedia (Arabic), سالامانكا",https://ar.wikipedia.org/wiki/%D8%B3%D8%A7%D9%84%D8%A7%D9%85%D8%A7%D9%86%D9%83%D8%A7_(%D8%A5%D8%B3%D8%A8%D8%A7%D9%86%D9%8A%D8%A7),,,,,Modern,vvitale,
Salamanca,236642,S̲h̲alamanḳa,,ar-Latn,"Encyclopedia of Islam,S̲h̲alamanḳa",http://dx.doi.org/10.1163/1573-3912_islam_SIM_6793,,,,,Modern,vvitale,
Salamanca,236642,S̲h̲alamantiḳa,,ar-Latn,"Encyclopedia of Islam, S̲h̲alamanḳa",http://dx.doi.org/10.1163/1573-3912_islam_SIM_6793,,,,,Modern,vvitale,
Segovia,236658,شقونية,Shiquniya,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,Mediaeval/Byzantine,vvitale,
Segovia,236658,شقوبية,Shiqubiya,ar,"Wikipedia (Arabic), شقوبية",https://ar.wikipedia.org/wiki/%D8%B4%D9%82%D9%88%D8%A8%D9%8A%D8%A9,,,,,Modern,vvitale,
Segovia,236658,S̲h̲aḳūbiya,,ar-Latn,"Encyclopedia of Islam, S̲h̲aḳūbiya",http://dx.doi.org/10.1163/1573-3912_islam_SIM_6789,,,,,Modern,vvitale,
Carcassonne,246294,قرقشونة,Qarqashuna,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), قرقشونة",https://ar.wikipedia.org/wiki/%D9%82%D8%B1%D9%82%D8%B4%D9%88%D9%86%D8%A9,,,,vvitale,
Barcelona,246343,برشلونة,,ar,"Wikipedia (Arabic), برشلونة",https://ar.wikipedia.org/wiki/%D8%A8%D8%B1%D8%B4%D9%84%D9%88%D9%86%D8%A9,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,"Mediaeval/Byzantine, Modern",vvitale,
Barcelona,246343,Bars̲h̲alūna,,ar-Latn,"Encyclopedia of Islam, Bars̲h̲alūna",http://dx.doi.org/10.1163/1573-3912_islam_SIM_1244,,,,,Modern,vvitale,
Barcelona,246343,Bars̲h̲inūna,,ar-Latn,"Encyclopedia of Islam, Bars̲h̲alūna",http://dx.doi.org/10.1163/1573-3912_islam_SIM_1244,,,,,Modern,vvitale,
Barcelona,246343,Bard̲j̲alūna,,ar-Latn,"Encyclopedia of Islam, Bars̲h̲alūna",http://dx.doi.org/10.1163/1573-3912_islam_SIM_1244,,,,,Modern,vvitale,
Zaragoza,246344,سرقسطية,Saraqustiya,ar,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f345,,,,,Mediaeval/Byzantine,vvitale,
Narbonne,246347,أربونة,Arbuna,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), أربونة",https://ar.wikipedia.org/wiki/%D8%A3%D8%B1%D8%A8%D9%88%D9%86%D8%A9,,,"Mediaeval/Byzantine, Modern",vvitale,
Narbonne,246347,Arbūna,,ar-Latn,"Encyclopedia of Islam, Arbūna",http://dx.doi.org/10.1163/1573-3912_islam_SIM_0707,,,,,Modern,vvitale,
Girona,246406,خريدة,Khrida,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,,vvitale,
Girona,246406,جرندة,Girinda,ar,"Wikipedia (Arabic), جرندة",https://ar.wikipedia.org/wiki/%D8%AC%D8%B1%D9%86%D8%AF%D8%A9,,,,,,vvitale,
Huesca,246539,و شقة,Uishqa,ar,"Wikipedia (Arabic), وشقة",https://ar.wikipedia.org/wiki/%D9%88%D8%B4%D9%82%D8%A9,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,"
Mediaeval/Byzantine, Modern",vvitale,
Huesca,246539,Was̲h̲ḳa,,ar-Latn,"Encyclopedia of Islam, Was̲h̲ḳa",http://dx.doi.org/10.1163/1573-3912_islam_SIM_7879,,,,,Modern,vvitale,
Pamplona,246567,بنبلونة,Banbluna,ar,"Wikipedia (Arabic), بنبلونة",https://ar.wikipedia.org/wiki/%D8%A8%D9%86%D8%A8%D9%84%D9%88%D9%86%D8%A9,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,"Mediaeval/Byzantine, Modern",vvitale,
Tolosa,246694,طلوشة,Tulusha,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,,vvitale,
Tolosa,246694,تولوز,Tuluz,ar,"Wikipedia (Arabic), تولوز",https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%84%D9%88%D8%B2,,,,,,vvitale,
Córdoba,256128,قرطب,Qurtuba,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,,,,,Mediaeval/Byzantine,vvitale,
Tangier,256235,طريفة,Tarifa,ar,"Wikipedia (Arabic), طريفة",https://ar.wikipedia.org/wiki/%D8%B7%D8%B1%D9%8A%D9%81%D8%A9,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,"Mediaeval/Byzantine, modern",vvitale,
Tangier,256235,Ṭarīfa,,ar-Latn,"Brill Encyclopedia of Islam, Ṭarīfa",http://dx.doi.org/10.1163/1573-3912_islam_SIM_7413,,,,,modern,vvitale,
Tangier,256235,طريفا,Tarifa,ar,GeoNames: 2510599,http://www.geonames.org/2510599/tarifa.html,,,,,,vvitale,
Lucentum,265954,Medina Laqant ,,ar-Latn,"Wikipedia, Alicante",https://en.wikipedia.org/wiki/Alicante,,,,,medieval,vvitale,
Lucentum,265954,مدنة ألَلَقَنْت,Madinatu-Laqant,ar,"Wikipedia (Spanish), Laqant",https://es.wikipedia.org/wiki/Laqant,,,,,Mediaeval/Byzantine,vvitale,
Lucentum,265954,أليكانته,Alikantih,ar,"Atlas dul al-alam al-kabir (Archive.org), 426",https://archive.org/stream/adakm/atlasda#page/n426/mode/1up,,,,,modern,vvitale,
Lucentum,265954,Laḳant,,ar-Latn,"Encyclopedia of Islam, Lakant",http://referenceworks.brillonline.com/entries/encyclopaedia-of-islam-2/lakant-SIM_4617,,,,,Mediaeval/Byzantine,vvitale,
Lucentum,265954,أليكانتي,Alikanti,ar,"Wikipedia (Arabic), أليكانتي",https://ar.wikipedia.org/wiki/%D8%A3%D9%84%D9%8A%D9%83%D8%A7%D9%86%D8%AA%D9%8A,GeoNames: 2521978,http://www.geonames.org/2521978/alicante.html,,,modern,vvitale,
Malaga,265963,مالقة,Malaqa,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f345,,,Mediaeval/Byzantine,vvitale,
Tangier,275736,طنجة,Tangia,ar,"Wikipedia (Arabic), طنجة",https://ar.wikipedia.org/wiki/%D8%B7%D9%86%D8%AC%D8%A9,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,GeoNames: 2530335,http://www.geonames.org/2530335/tangier.html,"Mediaeval/Byzantine, modern",vvitale,
Tangier,275736,Τιγγίς,Tingis,grc,Ptol. Book 4.1,,,,,,Hellenistic Greek,vvitale,
Tangier,275736,Colonia Iulia Claudia Tingitana,,Latin,"Trismegistos Geo, Tingis",http://www.trismegistos.org/place/15623,,,,,"Roman, early Empire",vvitale,
Sfax,324822,اسفاقس,Asfaqs,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f200,,,Mediaeval/Byzantine,vvitale,
Girba?,344383,جربة,Girba,ar,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f200,,,,,Mediaeval/Byzantine,vvitale,
Eufranta,363959,سرت,Surt,ar,"Ibn Hauqal, Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,"Configuration de la Terre 1964, 59",http://www.worldcat.org/title/configuration-de-la-terre-kitab-surat-al-ard/oclc/3332947,,,Mediaeval/Byzantine,vvitale,
Barca,373750,برقة,Barqa,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), al-Mardj al-Qadima",https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%B1%D8%AC_%D8%A7%D9%84%D9%82%D8%AF%D9%8A%D9%85%D8%A9,,,Mediaeval/Byzantine  ,vvitale,
